Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,,,,
UC Berkeley,N,African American Studies,Home/Landing,,,https://africam.berkeley.edu/,10/22/24,Keya,2:32,,,,,Humanities
UC Berkeley,N,African American Studies,Undergrad education,,,https://africam.berkeley.edu/major-and-minor-requirements/,10/22/24,Keya,2:32,,,,,Chicanx Latinx Studies
UC Berkeley,N,African American Studies,Prospective students,,,,10/22/24,Keya,2:32,,,,,"Chinese Studies, Center for"
UC Berkeley,N,African American Studies,Advising,,,https://africam.berkeley.edu/undergraduate-program/undergraduate-advising/,10/22/24,Keya,2:32,,,,,City and Regional Planning
UC Berkeley,N,African American Studies,Research,,,https://africam.berkeley.edu/academic-opportunities/,10/22/24,Keya,2:32,,,,,
UC Berkeley,N,African American Studies,Undergraduate Research,,,https://africam.berkeley.edu/academic-opportunities/,10/22/24,Keya,2:32,,,,,
UC Berkeley,N,African American Studies,DEI/JEDI,,,,10/22/24,Keya,2:32,,,,,College Writing Programs
UC Berkeley,N,African American Studies,Chair’s Message,,,,10/22/24,Keya,2:32,,,,,
UC Berkeley,N,African American Studies,About,,,https://africam.berkeley.edu/about-the-program/,10/22/24,Keya,2:32,,,,,Comparative Literature
UC Berkeley,N,African American Studies,Courses/Curriculum,,,https://africam.berkeley.edu/major-and-minor-requirements/,10/22/24,Keya,2:32,,,,,Computational Social Science
UC Berkeley,,,,,,,,,,,,,,
UC Berkeley,Y,Agricultural and Resource Economics,Home/Landing,,,https://are.berkeley.edu/,10/22/24,Keya,2:41,,,,,
UC Berkeley,Y,Agricultural and Resource Economics,Undergrad education,,,https://are.berkeley.edu/eep/major,10/22/24,Keya,2:41,,,,,Conservation Resource Studies
UC Berkeley,Y,Agricultural and Resource Economics,Prospective students,,,https://are.berkeley.edu/eep/hear-from-our-students,10/22/24,Keya,2:41,,,,,Creative Writing
UC Berkeley,Y,Agricultural and Resource Economics,Advising,,,https://are.berkeley.edu/eep/student-outreach,10/22/24,Keya,2:41,kinda advising,,,,"Critical Theory, The Program in"
UC Berkeley,Y,Agricultural and Resource Economics,Research,,,https://are.berkeley.edu/about/research-areas,10/22/24,Keya,2:41,,,,,Dance
UC Berkeley,Y,Agricultural and Resource Economics,Undergraduate Research,,,https://are.berkeley.edu/eep/research-opportunities,10/22/24,Keya,2:41,,,,,Demography
UC Berkeley,Y,Agricultural and Resource Economics,DEI/JEDI,,,https://are.berkeley.edu/diversity-equity-inclusion,10/22/24,Keya,2:41,,,,,Development Practice
UC Berkeley,Y,Agricultural and Resource Economics,Chair’s Message,,,https://are.berkeley.edu/about/letter-chair,10/22/24,Keya,2:41,,,,,Disability Studies
UC Berkeley,Y,Agricultural and Resource Economics,About,,,https://are.berkeley.edu/about,10/22/24,Keya,2:41,,,,,Dutch Studies
UC Berkeley,Y,Agricultural and Resource Economics,Courses/Curriculum,,,https://are.berkeley.edu/eep/courses,10/22/24,Keya,2:41,,,,,
UC Berkeley,,,,,,,,,,,,,,East Asian Languages & Cultures
UC Berkeley,N,American Cultures,Home/Landing,,,https://as.ugis.berkeley.edu/,10/22/24,Keya,3:25,no grad program,,,,East Asian Studies
UC Berkeley,N,American Cultures,Undergrad education,,,https://as.ugis.berkeley.edu/,10/22/24,Keya,3:25,do i repeat url if it covers more than one website category?,,,,
UC Berkeley,N,American Cultures,Prospective students,,,https://as.ugis.berkeley.edu/declaring-the-major/,10/22/24,Keya,3:25,Declaring the major and minor pages,,,,
UC Berkeley,N,American Cultures,Advising,,,https://as.ugis.berkeley.edu/program-resources/,10/22/24,Keya,3:25,"""resources""",,,,
UC Berkeley,N,American Cultures,Research,,,https://as.ugis.berkeley.edu/research-guides/,10/22/24,Keya,3:25,,,,,
UC Berkeley,N,American Cultures,Undergraduate Research,,,,10/22/24,Keya,3:25,only undergrad,,,,
UC Berkeley,N,American Cultures,DEI/JEDI,,,,10/22/24,Keya,3:25,,,,,
UC Berkeley,N,American Cultures,Chair’s Message,,,,10/22/24,Keya,3:25,,,,,
UC Berkeley,N,American Cultures,About,,,https://as.ugis.berkeley.edu/about-the-major/,10/22/24,Keya,3:25,about the major,,,,
UC Berkeley,N,American Cultures,Courses/Curriculum,,,https://as.ugis.berkeley.edu/courses/,10/22/24,Keya,3:25,,,,,English
UC Berkeley,,,,,,,,,,,,,,"Environmental Design, College of"
UC Berkeley,N,Ancient Greek & Roman Studies,Home/Landing,,,https://dagrs.berkeley.edu/,10/23/24,Keya,2:10,,,,,Environmental Economics and Policy
UC Berkeley,N,Ancient Greek & Roman Studies,Undergrad education,,,https://dagrs.berkeley.edu/undergraduate/majors-and-minors,10/23/24,Keya,2:10,,,,,Environmental Health Sciences
