Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes,
UC Irvine,Y,Computer Science,Home/Landing,,,https://cs.ics.uci.edu/,5/23/2024,Karim,5:55,,Art
UC Irvine,Y,Computer Science,Undergrad education,,,https://cs.ics.uci.edu/undergraduate-programs/,5/23/2024,Karim,5:55,,Dance
UC Irvine,Y,Computer Science,Prospective students,,,,5/23/2024,Karim,5:55,,Drama 
UC Irvine,Y,Computer Science,Advising,,,https://ics.uci.edu/academics/undergraduate-academic-advising/,5/23/2024,Karim,5:55,,Music
UC Irvine,Y,Computer Science,Research,,,https://cs.ics.uci.edu/research-areas/,5/23/2024,Karim,5:55,,
UC Irvine,Y,Computer Science,Undergraduate Research,,,https://ics.uci.edu/student-experience/undergraduate-research/,5/23/2024,Karim,5:55,,
UC Irvine,Y,Computer Science,DEI/JEDI,,,,5/23/2024,Karim,5:55,,
UC Irvine,Y,Computer Science,Chair’s Message,,,,5/23/2024,Karim,5:55,,
UC Irvine,Y,Computer Science,About,,,https://cs.ics.uci.edu/explore/,5/23/2024,Karim,5:55,,Business
UC Irvine,Y,Computer Science,Courses/Curriculum,,,,5/23/2024,Karim,5:55,,Education
,,,,,,,,,,,
UC Irvine,,Anthropology,Home/Landing,,,https://www.anthropology.uci.edu/,5/23/2024,Karim,2:42,,
UC Irvine,,Anthropology,Undergrad education,,,https://www.anthropology.uci.edu/undergrad/index.php,5/23/2024,Karim,2:42,,
UC Irvine,,Anthropology,Prospective students,,,,5/23/2024,Karim,2:42,,
UC Irvine,,Anthropology,Advising,,,,5/23/2024,Karim,2:42,,
UC Irvine,,Anthropology,Research,,,https://www.anthropology.uci.edu/research_clusters.php,5/23/2024,Karim,2:42,,
UC Irvine,,Anthropology,Undergraduate Research,,,,5/23/2024,Karim,2:42,,African American Studies
UC Irvine,,Anthropology,DEI/JEDI,,,,5/23/2024,Karim,2:42,,Art History
UC Irvine,,Anthropology,Chair’s Message,,,https://www.anthropology.uci.edu/about/message.php,5/23/2024,Karim,2:42,,Asian American Studies
UC Irvine,,Anthropology,About,,,https://www.anthropology.uci.edu/about/dept.php,5/23/2024,Karim,2:42,,Classics
UC Irvine,,Anthropology,Courses/Curriculum,,,https://www.anthropology.uci.edu/undergrad/major.php,5/23/2024,Karim,2:42,,Comparative Literature
,,,,,,,,,,,East Asian Studies
UC Irvine,Y,Math,Home/Landing,,,https://www.math.uci.edu/,5/23/2024,Karim,4:32,"old, difficult to navigate website. Side menu with too many options.",English
UC Irvine,Y,Math,Undergrad education,,,https://www.math.uci.edu/undergraduate,5/23/2024,Karim,4:32,,European Languages and Studies
UC Irvine,Y,Math,Prospective students,,,,5/23/2024,Karim,4:32,,Film and Media Studies
UC Irvine,Y,Math,Advising,,,,5/23/2024,Karim,4:32,,Gender and Sexuality Studies
UC Irvine,Y,Math,Research,,,https://www.math.uci.edu/research,5/23/2024,Karim,4:32,,History
UC Irvine,Y,Math,Undergraduate Research,,,,5/23/2024,Karim,4:32,,Philosophy
UC Irvine,Y,Math,DEI/JEDI,,,https://www.math.uci.edu/diversity,5/23/2024,Karim,4:32,,Spanish and Portuguese
UC Irvine,Y,Math,Chair’s Message,,,https://www.math.uci.edu/about-us/word-chair,5/23/2024,Karim,4:32,,
UC Irvine,Y,Math,About,,,https://www.math.uci.edu/about,5/23/2024,Karim,4:32,,
UC Irvine,Y,Math,Courses/Curriculum,,,https://www.math.uci.edu/undergrad-courses/course-registration-and-placement-information,5/23/2024,Karim,4:32,,
,,,,,,,,,,,
UC Irvine,Y,Statistics,Home/Landing,,,https://www.stat.uci.edu/,5/27/2024,Karim,2:21,,
UC Irvine,Y,Statistics,Undergrad education,,,https://www.stat.uci.edu/slider/b-s-in-data-science/,5/27/2024,Karim,2:21,,
UC Irvine,Y,Statistics,Prospective students,,,,5/27/2024,Karim,2:21,,
UC Irvine,Y,Statistics,Advising,,,,5/27/2024,Karim,2:21,,"Criminology, Law and Society"
UC Irvine,Y,Statistics,Research,,,https://www.stat.uci.edu/research/,5/27/2024,Karim,2:21,,Urban Planning and Public Policy
UC Irvine,Y,Statistics,Undergraduate Research,,,,5/27/2024,Karim,2:21,,
UC Irvine,Y,Statistics,DEI/JEDI,,,,5/27/2024,Karim,2:21,,Sociology
UC Irvine,Y,Statistics,Chair’s Message,,,https://www.stat.uci.edu/chairs-message/,5/27/2024,Karim,2:21,,Anthropology
UC Irvine,Y,Statistics,About,,,,5/27/2024,Karim,2:21,,Chicano/Latino Studies
UC Irvine,Y,Statistics,Courses/Curriculum,,,,5/27/2024,Karim,2:21,,
,,,,,,,,,,,
