Institution,STEM,Department,Website_Type,Subset,OutsideDoc,URL,Date_Collected,Scraper,Time_to_Scrape,Notes
UC San Diego,Y,Anthropology,Home/Landing,,,https://anthropology.ucsd.edu/,9/30/2024,Nate,4:58,Check for list of departments here: https://admissions.ucsd.edu/why/majors/index.html
UC San Diego,Y,Anthropology,Undergrad education,,,https://anthropology.ucsd.edu/undergraduate-studies/major-minor/index.html,9/30/2024,Nate,4:58,
UC San Diego,Y,Anthropology,Prospective students,,,https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,9/30/2024,Nate,4:58,
UC San Diego,Y,Anthropology,Advising,,,https://anthropology.ucsd.edu/about-us/contact/advising-hours.html,9/30/2024,Nate,4:58,
UC San Diego,Y,Anthropology,Research,,,https://anthropology.ucsd.edu/research/index.html,9/30/2024,Nate,4:58,
UC San Diego,Y,Anthropology,Undergraduate Research,,,,9/30/2024,Nate,4:58,
UC San Diego,Y,Anthropology,DEI/JEDI,,,,9/30/2024,Nate,4:58,
UC San Diego,Y,Anthropology,Chair’s Message,,,,9/30/2024,Nate,4:58,
UC San Diego,Y,Anthropology,About,,,https://anthropology.ucsd.edu/about-us/index.html,9/30/2024,Nate,4:58,
UC San Diego,Y,Anthropology,Courses/Curriculum,,,https://anthropology.ucsd.edu/undergraduate-studies/courses/index.html,9/30/2024,Nate,4:58,
UC San Diego,N,Visual Arts,Home/Landing,,,https://visarts.ucsd.edu/,9/30/2024,Nate,2:46,
UC San Diego,N,Visual Arts,Undergrad education,,,https://visarts.ucsd.edu/undergrad/index.html,9/30/2024,Nate,2:46,
UC San Diego,N,Visual Arts,Prospective students,,,,9/30/2024,Nate,2:46,
UC San Diego,N,Visual Arts,Advising,,,https://visarts.ucsd.edu/undergrad/academic-advising/index.html,9/30/2024,Nate,2:46,
UC San Diego,N,Visual Arts,Research,,,,9/30/2024,Nate,2:46,
UC San Diego,N,Visual Arts,Undergraduate Research,,,https://visarts.ucsd.edu/undergrad/scholarships.html,9/30/2024,Nate,2:46,
UC San Diego,N,Visual Arts,DEI/JEDI,,,https://visarts.ucsd.edu/diversity/index.html,9/30/2024,Nate,2:46,
UC San Diego,N,Visual Arts,Chair’s Message,,,https://visarts.ucsd.edu/about/chairs-message.html,9/30/2024,Nate,2:46,
UC San Diego,N,Visual Arts,About,,,https://visarts.ucsd.edu/about/index.html,9/30/2024,Nate,2:46,
UC San Diego,N,Visual Arts,Courses/Curriculum,,,https://visarts.ucsd.edu/undergrad/major-req/index.html,9/30/2024,Nate,2:46,
