URL,Institution,Department,Website_Type,STEM,Time_to_Scrape,Text Chunk,Flesch Reading Ease,Flesch-Kincaid Grade Level,Difficult Words,Total Number of Sentences,Total Number of Words,VADER Sentiment Score,TextBlob Sentiment Score
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,Thank you for your interest in the Anthropology Program at UC San Diego!,66.74,7.2,3,1,13,0.6996,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,"We welcome talented prospective students from across the nation and around the world toapply.If you're interested in the disciplines of archaeological, biological, and sociocultural anthropology, this is definitely the field for you.",21.4,14.3,11,2,32,0.8934,0.35
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,UC San Diego’s Admissions Officehandles all undergraduate admissions for both first -years and transfer students. Students interested in majoring in Anthropology must first be admitted to UC San Diego as an undergraduate student.,29.35,13.3,10,2,33,0.4767,0.25
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,For more information visit:UCSD Admissions Information,-27.68,18.6,2,1,6,0.0,0.5
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,Tips for visiting campus:,50.5,7.2,2,1,4,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,"When students apply, they select one of the six colleges.Click herefor an overview of the college requirements.",71.31,5.4,6,2,17,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,Please note:,120.21,-3.1,0,1,2,0.3182,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,"The Anthropology major hasno pre-requisitecourses required.All coursework is designed to be taken at UC San Diego, however we accept UC transferable coursework to fulfill lower division general education requirements.",14.46,14.8,12,2,29,0.5106,0.05625000000000001
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,Transfer Preparation,-6.7,14.7,2,1,2,0.0,0.0
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,"IGETC Certification:Completion of theIntersegmental General Education Transfer Curriculum (IGETC)is strongly recommended for all students transferring from a California community college.This curriculum will serve to clear most general education requirements for incoming transfer students, leaving one to eight (1-8) general education courses depending on which of the six UCSD colleges the student is admitted into.",1.77,19.7,19,2,54,0.7096,0.19722222222222222
https://anthropology.ucsd.edu/undergraduate-studies/prospective-transfer-students.html,UC San Diego,Anthropology,Prospective students,Y,4:58,"If you are a transfer student looking to complete coursework to apply towards your major, you can search for equivalent courses at your university.",47.12,12.7,9,1,24,0.0,0.08125
