URL,Institution,Department,Website_Type,STEM,Time_to_Scrape,Text Chunk,Flesch Reading Ease,Flesch-Kincaid Grade Level,Difficult Words,Total Number of Sentences,Total Number of Words,VADER Sentiment Score,TextBlob Sentiment Score
https://are.berkeley.edu/eep/hear-from-our-students,UC Berkeley,Agricultural and Resource Economics,Prospective students,Y,2:41,Jump to navigation,34.59,9.2,1,1,3,0.0,0.0
https://are.berkeley.edu/eep/hear-from-our-students,UC Berkeley,Agricultural and Resource Economics,Prospective students,Y,2:41,Why EEP - Hear from our Students,99.23,0.9,1,1,6,0.0,0.0
https://are.berkeley.edu/eep/hear-from-our-students,UC Berkeley,Agricultural and Resource Economics,Prospective students,Y,2:41,Why EEP? Hear from Our Students,99.23,0.9,1,1,6,0.0,0.0
https://are.berkeley.edu/eep/hear-from-our-students,UC Berkeley,Agricultural and Resource Economics,Prospective students,Y,2:41,Useful Links,77.91,2.9,0,1,2,0.4404,0.3
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,Jump to navigation,34.59,9.2,1,1,3,0.0,0.0
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,Outreach/ BEEPS Student Group Events,83.32,2.9,2,1,5,0.0,0.0
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,Welcome to EEP and BEEPS,100.24,0.5,0,1,5,0.4588,0.8
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,BEEPS Groupand WebpageLINK,93.81,0.9,1,1,3,0.0,0.0
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,"Jointhe Berkeley Environmental Economics and Policy Students - BEEPS  Group -@calBEEPS Instagram. BEEPS (Berkeley Environmental Economics and Policy Students) is a UC Berkeley student organization for undergraduates of the Environmental Economics and Policy major and minor to network, socialize, and prepare for post-graduation. We aim to connect current and prospective EEP students with their peers, professors, alumni, and relevant industry professionals.",8.88,17.0,21,3,60,0.0,0.10312500000000001
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,"What does BEEPS do during the school year?In addition to providing students with academic resources, BEEPS also hosts a variety of events that are open to all students. These events include: Navigating the EEP major/minor; Professional development; Grad student, faculty research; UC Berkeley alumni panels; Community building socials.",38.32,11.9,19,3,48,0.0,0.03333333333333333
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,"BEEPS is planning on having a speaker event soon and a firm's night the first week of April. Official dates are to be determined soon, but in the meantime there are also a couple of resources for people to look follow for the most up to date information! These include:",71.48,9.5,8,2,50,0.2481,0.225
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,"How do I get involved with BEEPS?BEEPS events are open to all students! To learn more about our plans for the semester, our first general meeting, and to receive more updates on events,join our slack channeland newsletter!",75.91,5.7,6,3,37,0.0,0.28500000000000003
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,"If you are a current EEP student or alumni, stay in touch via theBEEPS LinkedIn page!www.linkedin.com/company/calbeeps",46.78,10.7,5,1,16,0.0,0.0
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,"If you wish to beadded to the EEP alumni listwhere you receive job news, and other EEP-related events let us know by contacting any of the department faculty members.",58.96,12.2,7,1,29,0.4019,-0.125
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,Past BEEPS Events - Spring 2024,117.16,-1.9,0,1,5,0.0,-0.25
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,"Date: Monday, February 26th,   Time: 7-8 pm   Location: Dwinelle 197Our first speaker series of the semester will feature Professor Max Auffhamer, a distinguished figure in the field of environmental economics and sustainable development. Currently serving as a Research Associate at the National Bureau of Economic Research and a Professor at Berkeley Environmental Economics, Professor Auffhamer's expertise spans international sustainable development, with significant contributions as a lead author for the Intergovernmental Panel on Climate Change (IPCC).",-0.44,22.6,25,2,75,0.2023,0.16499999999999998
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,Alumni Speaker Series in previous Semesters,48.47,8.0,3,1,6,0.0,-0.16666666666666666
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,Faculty Speaker Series,9.21,12.7,2,1,3,0.0,0.0
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,"Recording of March 20, 2023 Faculty Talk",81.29,3.7,2,1,7,0.0,0.0
https://are.berkeley.edu/eep/student-outreach,UC Berkeley,Agricultural and Resource Economics,Advising,Y,2:41,Graduate Student Panel,9.21,12.7,3,1,3,0.0,0.0
