URL,Institution,Department,Website_Type,STEM,Time_to_Scrape,Text Chunk,Flesch Reading Ease,Flesch-Kincaid Grade Level,Difficult Words,Total Number of Sentences,Total Number of Words,VADER Sentiment Score,TextBlob Sentiment Score
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Main navigation,-6.7,14.7,1,1,2,0.0,0.16666666666666666
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Undergraduate menu,-49.0,20.6,1,1,2,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Prospective Students,35.61,8.8,2,1,2,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Overview,36.62,8.4,1,1,1,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,"The UC Santa Barbara Physics Department is a thriving community built on the foundations of research centered education and student focused instruction. With a multitude of leadership building and community education opportunities, you are given the keys to unlock your full potential.",24.78,15.0,17,2,42,0.6369,0.175
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Faculty and Staff Support,50.5,7.2,2,1,4,0.4019,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,"All Physics Department students are supported by a team of faculty and staff centered on helping you become a successful student and even more successful graduate. As a top 10 ranked Physics program, you will be provided with the tools to develop your skills through faculty lead courses and dedicated advising for physics majors. The keys to unlock a future without bounds can be found here.",57.61,10.7,18,3,66,0.9423,0.5
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,How To Apply,93.81,0.9,1,1,3,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Physics undergraduate applications are submitted online through UC admissions.,3.12,15.1,5,1,9,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Questions,36.62,8.4,1,1,1,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Academic Advisors,-49.0,20.6,2,1,2,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Contact,36.62,8.4,1,1,1,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Resources,36.62,8.4,1,1,1,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Website,36.62,8.4,1,1,1,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/prospective,UCSB,Physics,Prospective students,Y,1:21.76,Department of Physics •UC Santa Barbara2025 © Regents of the University of California,33.92,11.5,6,1,12,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/advising,UCSB,Physics,Advising,Y,1:21.76,Main navigation,-6.7,14.7,1,1,2,0.0,0.16666666666666666
https://www.physics.ucsb.edu/academics/undergraduate/advising,UCSB,Physics,Advising,Y,1:21.76,Undergraduate menu,-49.0,20.6,1,1,2,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/advising,UCSB,Physics,Advising,Y,1:21.76,Academic Advising,-49.0,20.6,2,1,2,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/advising,UCSB,Physics,Advising,Y,1:21.76,Academic advising is a major part of your educational experience here at UCSB. As a Physics major you are provided with a team of department experts so take advantage of us!,55.74,9.3,8,2,31,0.3758,0.09765625
https://www.physics.ucsb.edu/academics/undergraduate/advising,UCSB,Physics,Advising,Y,1:21.76,Staff Academic Advisors,9.21,12.7,2,1,3,0.0,0.0
https://www.physics.ucsb.edu/academics/undergraduate/advising,UCSB,Physics,Advising,Y,1:21.76,"We to provide you with administrative support such as Degree Audits, Physics course clearance, Physics Major Petitions, and General Physics Questions.",41.7,12.7,8,1,21,0.4019,0.037500000000000006
https://www.physics.ucsb.edu/academics/undergraduate/advising,UCSB,Physics,Advising,Y,1:21.76,If you have general Physics questions or need help figuring out who to contact email us at Advisors@physics.ucsb.edu. For more in depth information you can schedule an individual appointment.,48.3,10.1,8,2,29,0.4019,0.18333333333333335
https://www.physics.ucsb.edu/academics/undergraduate/advising,UCSB,Physics,Advising,Y,1:21.76,Faculty Advisors,-49.0,20.6,2,1,2,0.0,0.0
