URL,Text Chunk,Flesch Reading Ease,Flesch-Kincaid Grade Level,SMOG Index,Gunning Fog Index,Automated Readability Index,Coleman Liau Index,Dale-Chall Readability Score,Linsear Write Formula,Difficult Words,Total Number of Sentences,Total Number of Words,Sentiment,Sentiment Category
https://africam.berkeley.edu/,African American Studies & African Diaspora Studies,14.63,12.7,0.0,9.07,16.9,21.68,11.83,4.5,2,1,6,0.0,Neutral
https://africam.berkeley.edu/,Welcome to African American Studies,49.48,7.6,0.0,2.0,10.3,14.24,10.2,2.5,1,1,5,0.4588,Positive
https://africam.berkeley.edu/,About the Program,93.81,0.9,0.0,1.2,3.6,3.43,9.05,0.5,1,1,3,0.0,Neutral
https://africam.berkeley.edu/,Upcoming Events,35.61,8.8,0.0,20.8,12.5,10.0,19.53,1.0,1,1,2,0.0,Neutral
https://africam.berkeley.edu/,"The Department of African American Studies is an intellectual community committed to producing, refining and advancing knowledge of Black people in the United States, the Caribbean, Latin America, Europe and Africa. A key component of our mission is to interrogate the meanings and dimensions of slavery and colonialism, and their continuing political, social and cultural implications.",17.68,17.8,0.0,22.63,20.4,16.48,12.36,23.0,23,2,56,0.34,Positive
https://africam.berkeley.edu/,"Our faculty is drawn from disciplines as diverse as anthropology, cultural studies, linguistics, literature, history, sociology, performance, and creative writing. We are united by a relentless commitment to pushing the boundaries of knowledge through excellence in scholarship and pedagogy that are at once interdisciplinary and innovative.",5.83,18.2,0.0,22.24,20.4,19.21,12.33,19.5,21,2,46,0.9382,Positive
https://africam.berkeley.edu/,Sign Up for our Newsletter,83.32,2.9,0.0,10.0,1.8,3.8,7.04,2.5,1,1,5,0.0,Neutral
https://africam.berkeley.edu/,News,121.22,-3.5,0.0,0.4,-2.2,-22.21,0.05,-0.5,0,1,1,0.0,Neutral
https://africam.berkeley.edu/,"January 30, 2025",59.97,5.6,0.0,1.2,2.1,-0.46,14.31,1.5,0,1,3,0.0,Neutral
https://africam.berkeley.edu/,"The Banned Scholars Project is pleased to announce our third residency in February 2025, featuring two scholar-activists, Charisse Burden-Stelly, Associate Professor of African American Studies at Wayne State University, and Jodi Dean, Professor of Politics at Hobart and William Smith Colleges. Housed in the Department of African American Studies and funded by generous grants from the Mellon and Spencer Foundations, the Banned Scholars Project highlights threats to academic freedom, freedom of speech, and the teaching of race and gender around the country.",29.86,19.3,0.0,21.28,26.7,16.78,13.18,28.5,25,2,82,0.8271,Positive
https://africam.berkeley.edu/,"January 27, 2025",59.97,5.6,0.0,1.2,2.1,-0.46,14.31,1.5,0,1,3,0.0,Neutral
https://africam.berkeley.edu/,"AAS is launching a new section of our newsletter, Departmental Spotlights, organized by Graduate Student Endria Richardson. Our first spotlight features an interview with graduate student Karina Karbo-Wright.",31.89,12.3,0.0,14.17,16.0,18.61,13.92,10.5,15,2,28,0.6408,Positive
https://africam.berkeley.edu/,"Tell me about your work (whatever “work” means to you). What do you care about in the world, and how did you come to care about it?",100.07,2.7,0.0,6.88,3.6,3.18,1.25,6.25,1,2,27,0.7506,Positive
https://africam.berkeley.edu/,"November 12, 2024",59.97,5.6,0.0,1.2,3.6,1.52,14.31,1.5,0,1,3,0.0,Neutral
https://africam.berkeley.edu/,FromPunctum Books,77.91,2.9,0.0,0.8,17.3,15.8,19.53,0.0,1,1,2,0.0,Neutral
https://africam.berkeley.edu/,Address,36.62,8.4,0.0,0.4,12.0,-4.81,0.05,-0.5,0,1,1,0.0,Neutral
https://africam.berkeley.edu/,"660 Social Sciences Building #2572Berkeley, CA 94720",64.37,6.0,0.0,2.8,13.0,16.54,17.52,2.5,3,1,7,0.0,Neutral
https://africam.berkeley.edu/,"Office Hours:Monday – Friday 9am-12pm, 1pm–4pm",49.48,7.6,0.0,2.0,19.7,20.04,19.67,2.0,0,1,5,0.0,Neutral
https://africam.berkeley.edu/,Phone / Email,120.21,-3.1,0.0,0.8,5.5,-1.61,11.63,0.5,0,1,2,0.0,Neutral
https://africam.berkeley.edu/,Voice: (510) 642-7084Fax: (510) 642-0318,100.24,0.5,0.0,2.0,15.0,10.76,16.52,1.5,1,1,5,0.0,Neutral
https://africam.berkeley.edu/,Administration,-217.19,43.8,0.0,40.4,45.0,35.8,19.48,0.5,1,1,1,0.0,Neutral
